Screen Name,Twitter ID,Tweet Count,Follower Count,Favorites Count,Friends Count,Name,Created,Language,Latitude,Longitude,Location,Party,Extension round
JulienLoichat,256259889,188,169,0,165,Julien Loichat,2/23/11 0:15,fr,47.4173938,7.0752875,Porrentruy,SP,1
IhsanIkurt,456487963,209,110,1,374,Ihsan Kurt,1/6/12 9:22,fr,46.5354,6.60475,Prilly,SP,1
francoismonney,10406982,10186,1853,224,1075,François M. Monney,11/20/07 9:11,fr,46.5093,6.6616,Pully,BDP,1
Sim_Rap,401266928,397,295,43,334,Dimitri Simos-Rapin,10/30/11 9:11,fr,46.5093,6.6616,Pully,GPS,1
nilsrickert,293040714,240,186,7,122,Nils Rickert,5/4/11 17:15,de,47.2243186,8.8186672,Rapperswil-Jona,GLP,1
swisshardy,19995402,787,287,34,371,Hardy Jäggi,2/3/09 19:23,de,47.16125,7.594252,Recherswil,SP,1
ChristophLayer,344147703,4,18,1,46,Layer Christoph,7/28/11 16:26,de,47.4964522,7.5942608,Reinach,SP,1
AlbertoMocchi,284038016,5269,759,297,785,Alberto Mocchi,4/18/11 14:12,fr,46.5369,6.58478,Renens,GPS,1
DidierDivorne,1448798293,149,128,3,198,Didier Divorne,5/22/13 12:12,fr,46.5369,6.58478,Renens,RL,1
s_mettler,137307846,799,117,5,129,Samuel Mettler,4/26/10 11:54,de,47.54472,7.776104,Rheinfelden,EVP,1
SP_Riehen,2246062099,176,18,1,61,SP Riehen,12/14/13 19:40,de,47.5848753,7.6499584,Riehen,SP,1
Moberhaensli,1478115908,0,0,1,5,Michael Oberhänsli,6/2/13 20:12,de,47.211165,7.882716,Roggliswil,SVP,1
Oberthurgau,1024017499,281,180,16,156,Urs Martin,12/20/12 10:50,de,47.5637258,9.3701515,Romanshorn,SVP,1
RogerRSVP,2481986061,3,1,1,15,Roger Röösli,4/13/14 16:56,de,47.094004,8.272417,Rothenburg,SVP,1
GLP_Zug,868129284,4,30,0,12,glpZG,10/8/12 15:01,de,47.1409607,8.4319296,Rotkreuz,GLP,1
